customer_id,first_name,last_name,email,phone,birth_date,city,country,postal_code,segment,registration_date,last_login,is_verified,accepts_marketing
25,Camila,Torres,camila.torres25@email.com,+1 250-404-3161,2005-11-15,Salta,Colombia,16640,Silver,2023-10-18,2025-05-28,True,True
26,Lucía,Martínez,lucía.martínez26@email.com,+1 226-837-1593,1981-08-27,Tucumán,Perú,15872,Silver,2023-11-06,2024-09-02,False,False
27,Carlos,Martínez,carlos.martínez27@email.com,+1 240-620-1206,2002-01-18,Mendoza,Uruguay,90027,Gold,2023-06-09,2025-12-30,True,False
28,Carlos,Torres,carlos.torres28@email.com,+1 685-547-4920,1993-10-25,La Plata,Colombia,58692,Bronze,2021-09-12,2025-05-14,True,True
29,Martín,Ramírez,martín.ramírez29@email.com,+1 792-772-9979,1988-09-29,Córdoba,Colombia,25840,Silver,2020-09-19,2025-05-31,True,True
30,Valentina,Martínez,valentina.martínez30@email.com,+1 583-247-9776,1999-01-31,Mendoza,Chile,71157,Silver,2020-01-14,2022-05-10,True,False
31,Camila,Fernández,camila.fernández31@email.com,+1 767-104-6474,1966-11-10,Salta,Uruguay,35361,Silver,2022-04-22,2024-10-02,False,False
32,Camila,Fernández,camila.fernández32@email.com,+1 795-565-1495,1977-02-25,La Plata,Argentina,93639,Platinum,2022-12-01,2023-07-01,False,False
33,Carlos,Torres,carlos.torres33@email.com,+1 255-491-2382,1960-04-09,Santa Fe,Argentina,10448,Platinum,2020-07-22,2022-04-16,False,False
34,Sofía,Ramírez,sofía.ramírez34@email.com,+1 409-125-1683,1963-10-14,Tucumán,Colombia,53489,Gold,2024-04-14,2025-06-29,True,True
35,Carlos,Fernández,carlos.fernández35@email.com,+1 672-408-7525,1997-10-30,La Plata,Perú,38068,Bronze,2021-03-10,2021-11-03,True,True
36,Lucas,García,lucas.garcía36@email.com,+1 891-231-4100,1967-11-07,Santa Fe,Argentina,87261,Silver,2022-07-28,2024-03-18,True,True
37,Juan,Pérez,juan.pérez37@email.com,+1 553-745-6674,1984-05-09,Neuquén,Perú,49557,Gold,2024-04-19,2025-06-22,True,False
38,Gabriel,González,gabriel.gonzález38@email.com,+1 826-967-7629,1983-01-07,Neuquén,Uruguay,26414,Bronze,2022-12-02,2025-10-09,True,True
39,Pedro,Rodríguez,pedro.rodríguez39@email.com,+1 938-484-6799,1981-12-29,Rosario,Chile,59604,Silver,2022-06-18,2025-03-28,True,False
40,Diego,Martínez,diego.martínez40@email.com,+1 688-894-2117,2005-10-26,Tucumán,México,32932,Bronze,2022-08-30,2024-09-05,False,True
41,Valentina,García,valentina.garcía41@email.com,+1 658-251-2966,1969-05-08,Mar del Plata,Uruguay,80201,Silver,2023-09-19,2023-11-26,True,False
42,Juan,López,juan.lópez42@email.com,+1 591-978-6786,1972-11-06,La Plata,Argentina,82793,Bronze,2024-03-24,2024-11-13,False,False
43,Sofía,González,sofía.gonzález43@email.com,+1 827-614-1235,1989-09-30,Córdoba,Argentina,73696,Gold,2022-10-08,2024-03-25,True,False
44,Carlos,García,carlos.garcía44@email.com,+1 347-354-5196,1968-12-25,Salta,Chile,53621,Platinum,2020-12-12,2022-03-30,True,True
45,Martín,González,martín.gonzález45@email.com,+1 229-441-8541,1993-09-07,Mendoza,Argentina,77054,Bronze,2021-02-25,2025-06-21,False,True
46,Valentina,Sánchez,valentina.sánchez46@email.com,+1 651-443-1311,1975-11-15,Buenos Aires,Uruguay,26577,Silver,2022-12-17,2024-03-03,True,True
47,Laura,Rodríguez,laura.rodríguez47@email.com,+1 562-737-8118,1967-05-14,Santa Fe,Uruguay,12130,Gold,2023-09-29,2023-11-08,True,False
48,Pedro,Martínez,pedro.martínez48@email.com,+1 811-682-9841,1982-06-03,Mendoza,Argentina,29975,Platinum,2022-10-28,2025-07-12,True,False
49,Camila,Pérez,camila.pérez49@email.com,+1 303-388-8684,1993-02-20,Mar del Plata,Argentina,84231,Silver,2021-02-15,2025-11-18,True,True
50,Ana,Fernández,ana.fernández50@email.com,+1 701-682-6810,1980-09-27,Salta,Chile,74821,Gold,2021-04-17,2022-02-24,False,True
51,María,Pérez,maría.pérez51@email.com,+1 727-628-5626,1961-03-01,Córdoba,Argentina,68771,Gold,2020-07-01,2020-10-01,True,True
52,Lucas,Sánchez,lucas.sánchez52@email.com,+1 232-814-7651,1960-04-02,Mar del Plata,Perú,65016,Gold,2021-05-03,2024-07-18,True,True
53,Laura,Fernández,laura.fernández53@email.com,+1 790-620-8440,1980-02-09,Mar del Plata,Colombia,29372,Platinum,2022-02-13,2022-07-01,True,True
54,Sofía,López,sofía.lópez54@email.com,+1 819-192-5715,1979-05-11,Salta,Argentina,57218,Bronze,2021-05-08,2022-09-27,False,False
55,Lucas,González,lucas.gonzález55@email.com,+1 232-834-1320,1977-08-29,Mar del Plata,Chile,74951,Platinum,2021-09-15,2022-06-19,True,True
56,Camila,Fernández,camila.fernández56@email.com,+1 648-176-9420,1989-12-18,Neuquén,Argentina,29231,Bronze,2023-05-28,2024-01-13,True,False
57,Sofía,González,sofía.gonzález57@email.com,+1 722-156-9892,1996-08-31,Neuquén,Argentina,64576,Silver,2021-09-04,2023-07-16,True,False
58,Lucía,Rodríguez,lucía.rodríguez58@email.com,+1 363-433-7896,1977-07-24,Córdoba,Perú,17256,Silver,2024-05-24,2025-07-23,True,True
59,Valentina,Torres,valentina.torres59@email.com,+1 287-176-9051,1961-01-20,Mendoza,Chile,98887,Gold,2023-05-13,2025-04-22,True,False
60,Lucía,Torres,lucía.torres60@email.com,+1 397-326-9738,1983-03-14,Neuquén,Argentina,98674,Bronze,2023-09-22,2025-08-09,True,False
61,Lucía,García,lucía.garcía61@email.com,+1 316-439-5678,1969-09-09,Neuquén,Argentina,16196,Platinum,2023-12-19,2025-06-10,True,True
62,Carlos,Rodríguez,carlos.rodríguez62@email.com,+1 629-953-5685,1968-08-09,Mendoza,México,24422,Silver,2020-08-07,2023-07-19,True,True
63,Laura,Torres,laura.torres63@email.com,+1 521-305-8283,1999-01-02,Mendoza,Argentina,14996,Platinum,2022-08-17,2026-01-03,True,False
64,Mateo,García,mateo.garcía64@email.com,+1 531-688-3042,1984-12-19,Neuquén,Argentina,27747,Platinum,2020-10-05,2025-05-10,True,False
65,Lucas,García,lucas.garcía65@email.com,+1 362-541-4474,1990-07-17,Mar del Plata,Uruguay,22180,Silver,2020-05-03,2020-12-20,False,False
66,Ana,García,ana.garcía66@email.com,+1 209-727-8420,1992-10-25,Neuquén,Argentina,18103,Bronze,2022-07-31,2022-12-26,True,False
67,Juan,Sánchez,juan.sánchez67@email.com,+1 296-567-9912,1973-10-29,Buenos Aires,Colombia,38036,Bronze,2023-02-23,2023-04-04,True,True
68,Pedro,Ramírez,pedro.ramírez68@email.com,+1 656-131-8060,2001-09-26,Santa Fe,México,33404,Platinum,2020-12-01,2021-12-10,True,False
69,María,Fernández,maría.fernández69@email.com,+1 415-368-3263,1987-06-12,Santa Fe,Argentina,98829,Bronze,2022-09-11,2024-05-17,True,True
70,María,Martínez,maría.martínez70@email.com,+1 975-350-6948,1991-01-07,Salta,Argentina,87539,Gold,2021-02-22,2021-12-28,True,True
71,María,Ramírez,maría.ramírez71@email.com,+1 351-566-7088,1998-02-25,Mendoza,Argentina,16361,Platinum,2020-12-23,2023-11-08,True,False
72,Ana,Torres,ana.torres72@email.com,+1 482-969-3897,1962-08-17,Mendoza,Argentina,55041,Bronze,2020-09-25,2024-12-30,False,True
73,Sofía,Fernández,sofía.fernández73@email.com,+1 283-148-5113,1989-08-21,Rosario,Uruguay,30577,Gold,2021-12-08,2024-08-06,True,True
74,Lucía,Torres,lucía.torres74@email.com,+1 823-433-3845,2003-02-02,Rosario,Perú,34646,Gold,2023-09-18,2025-07-21,True,False
75,Sofía,Martínez,sofía.martínez75@email.com,+1 393-488-6606,1989-11-20,Mar del Plata,Colombia,86824,Bronze,2023-02-22,2023-07-23,True,False
76,Diego,Pérez,diego.pérez76@email.com,+1 455-282-1659,1966-09-12,Mendoza,México,74417,Gold,2021-04-05,2021-06-06,True,False
77,Ana,Torres,ana.torres77@email.com,+1 436-556-1118,1984-01-06,Salta,Argentina,75211,Bronze,2024-01-21,2025-06-02,True,False
78,Diego,González,diego.gonzález78@email.com,+1 947-990-7146,1978-12-12,La Plata,Perú,97676,Bronze,2023-03-30,2025-04-17,True,True
79,Martín,López,martín.lópez79@email.com,+1 736-746-5717,1998-10-22,Santa Fe,Uruguay,12854,Bronze,2020-02-09,2024-07-16,True,False
80,Sofía,Sánchez,sofía.sánchez80@email.com,+1 381-998-5862,2004-01-20,Salta,México,46312,Bronze,2022-02-02,2025-07-20,True,False
81,Carlos,González,carlos.gonzález81@email.com,+1 790-535-1962,1962-10-08,Santa Fe,México,16536,Bronze,2020-10-26,2025-03-14,True,False
82,Laura,Sánchez,laura.sánchez82@email.com,+1 956-953-7516,1965-06-09,Mendoza,Argentina,74696,Platinum,2023-08-20,2024-03-26,True,False
83,Valentina,Sánchez,valentina.sánchez83@email.com,+1 926-120-8834,2005-07-19,Rosario,Argentina,91717,Platinum,2022-09-28,2023-01-12,False,True
84,Gabriel,Ramírez,gabriel.ramírez84@email.com,+1 608-517-1048,1978-09-17,La Plata,Perú,39750,Platinum,2022-04-07,2025-08-28,False,False
85,Mateo,Ramírez,mateo.ramírez85@email.com,+1 240-495-7227,1977-01-22,Tucumán,Perú,73001,Bronze,2022-10-27,2023-03-27,True,False
86,María,Sánchez,maría.sánchez86@email.com,+1 684-695-2428,1963-11-27,La Plata,Argentina,59839,Gold,2022-12-12,2024-01-29,True,True
87,Carlos,Rodríguez,carlos.rodríguez87@email.com,+1 367-480-3089,1970-03-21,La Plata,Argentina,58454,Silver,2020-05-26,2023-10-25,True,False
88,Gabriel,Sánchez,gabriel.sánchez88@email.com,+1 571-820-6397,1983-05-04,Santa Fe,Uruguay,22669,Platinum,2020-01-12,2024-04-30,True,True
89,Laura,Fernández,laura.fernández89@email.com,+1 601-260-3985,1975-07-15,Neuquén,Chile,76265,Gold,2022-06-04,2025-06-26,False,False
90,Laura,López,laura.lópez90@email.com,+1 464-761-4620,1998-05-18,Santa Fe,Argentina,18353,Silver,2020-02-21,2024-09-08,True,True
91,María,Ramírez,maría.ramírez91@email.com,+1 514-678-8999,1965-03-01,La Plata,Uruguay,83976,Platinum,2022-10-20,2023-12-27,False,False
92,Martín,González,martín.gonzález92@email.com,+1 346-479-7799,1985-04-04,Rosario,Argentina,98687,Bronze,2023-02-09,2024-08-02,True,False
93,Gabriel,García,gabriel.garcía93@email.com,+1 215-929-3458,1985-08-27,Neuquén,Perú,77062,Platinum,2023-11-16,2024-11-11,True,False
94,Juan,Fernández,juan.fernández94@email.com,+1 493-711-7653,1966-01-24,Buenos Aires,Argentina,75564,Bronze,2022-02-18,2025-12-18,False,False
95,María,Rodríguez,maría.rodríguez95@email.com,+1 792-936-2350,1972-06-02,Rosario,México,66326,Bronze,2023-12-24,2025-02-15,True,False
96,María,Torres,maría.torres96@email.com,+1 741-283-6149,1961-07-29,Córdoba,Uruguay,77367,Gold,2023-08-28,2025-08-22,False,True
97,Martín,Pérez,martín.pérez97@email.com,+1 439-563-3537,1963-06-29,Rosario,México,80116,Gold,2020-09-19,2022-08-19,True,True
98,Mateo,García,mateo.garcía98@email.com,+1 478-422-1925,2004-11-10,Rosario,México,15595,Bronze,2021-12-20,2025-05-01,True,False
99,Ana,Fernández,ana.fernández99@email.com,+1 887-570-2975,1988-04-13,Tucumán,Perú,10638,Bronze,2021-09-20,2021-11-23,True,True
100,Juan,González,juan.gonzález100@email.com,+1 510-248-6381,1983-07-02,La Plata,Perú,88269,Silver,2020-11-18,2022-07-27,True,True
101,Carlos,Fernández,carlos.fernández101@email.com,+1 800-737-2899,2000-02-19,Buenos Aires,Colombia,52847,Bronze,2023-03-23,2023-06-18,True,True
102,Lucas,González,lucas.gonzález102@email.com,+1 817-231-8965,1976-04-02,Córdoba,Chile,59944,Bronze,2023-03-24,2025-12-30,True,False
103,Lucas,Fernández,lucas.fernández103@email.com,+1 856-446-6676,1996-11-27,Salta,México,88091,Silver,2022-07-12,2026-01-02,True,True
104,Mateo,Sánchez,mateo.sánchez104@email.com,+1 739-412-8067,1978-02-04,Mar del Plata,Chile,88443,Platinum,2022-12-16,2024-05-25,True,True
105,Ana,Fernández,ana.fernández105@email.com,+1 760-636-4493,2003-02-02,Salta,México,54291,Bronze,2021-10-20,2021-12-20,True,True
106,Sofía,Pérez,sofía.pérez106@email.com,+1 321-506-4769,1973-10-10,Mendoza,Perú,88875,Gold,2023-02-25,2023-12-05,False,False
107,Pedro,García,pedro.garcía107@email.com,+1 535-626-5078,1976-05-11,Buenos Aires,Perú,90926,Silver,2022-02-27,2025-09-01,True,True
108,Carlos,González,carlos.gonzález108@email.com,+1 827-461-6495,1982-02-05,Santa Fe,Argentina,71519,Silver,2022-06-08,2025-03-03,True,False
109,Carlos,González,carlos.gonzález109@email.com,+1 493-825-9808,1976-11-07,Tucumán,Argentina,80500,Bronze,2023-10-12,2025-02-21,True,False
110,Lucía,García,lucía.garcía110@email.com,+1 269-372-1553,2003-02-27,Neuquén,México,54737,Gold,2021-11-08,2023-04-02,True,False
111,Gabriel,Ramírez,gabriel.ramírez111@email.com,+1 307-684-5251,1991-07-01,Buenos Aires,Argentina,32629,Platinum,2023-01-25,2023-03-22,False,True
112,Ana,González,ana.gonzález112@email.com,+1 547-428-8820,1982-02-13,Santa Fe,Colombia,79783,Gold,2022-01-25,2022-09-07,True,True
113,Lucas,González,lucas.gonzález113@email.com,+1 791-357-6826,1988-07-16,Salta,México,83240,Silver,2022-08-20,2022-08-23,False,False
114,Lucía,Pérez,lucía.pérez114@email.com,+1 851-879-8393,1961-09-16,Salta,Argentina,68560,Bronze,2023-10-29,2025-03-12,True,True
115,María,Pérez,maría.pérez115@email.com,+1 393-658-4845,1985-11-26,Mendoza,México,20509,Silver,2020-04-30,2020-11-23,True,True
116,Mateo,García,mateo.garcía116@email.com,+1 538-776-3406,1986-02-28,Santa Fe,Perú,42225,Gold,2021-05-13,2025-01-18,True,False
117,Juan,Fernández,juan.fernández117@email.com,+1 416-476-1519,1971-02-02,Mendoza,Chile,15912,Silver,2020-03-15,2022-05-25,True,True
118,Diego,Fernández,diego.fernández118@email.com,+1 888-309-2462,1982-07-19,La Plata,Chile,14433,Silver,2021-09-02,2023-11-30,False,True
119,María,Fernández,maría.fernández119@email.com,+1 707-736-2304,1962-09-14,Santa Fe,Argentina,80920,Silver,2020-07-19,2025-08-24,False,True
120,Lucas,Pérez,lucas.pérez120@email.com,+1 321-858-3813,1989-12-12,Santa Fe,Argentina,10354,Platinum,2020-05-07,2024-10-31,True,False
121,Sofía,Martínez,sofía.martínez121@email.com,+1 810-435-9209,1999-01-03,Neuquén,Colombia,30349,Platinum,2022-03-24,2025-12-01,False,False
122,Camila,Sánchez,camila.sánchez122@email.com,+1 645-324-1758,1988-11-30,Córdoba,Argentina,34874,Gold,2023-09-25,2025-06-19,True,True
123,Ana,García,ana.garcía123@email.com,+1 565-931-6200,1990-03-26,Mar del Plata,Chile,89660,Bronze,2021-10-03,2022-12-19,False,True
124,Ana,Torres,ana.torres124@email.com,+1 283-946-7272,1973-08-25,Mendoza,Argentina,19275,Platinum,2022-05-14,2024-11-28,True,True
125,Lucas,Sánchez,lucas.sánchez125@email.com,+1 330-142-3481,1997-08-08,La Plata,Colombia,66354,Platinum,2020-04-13,2020-08-31,True,False
126,Lucas,Martínez,lucas.martínez126@email.com,+1 786-752-1871,1979-09-23,Mendoza,Chile,80203,Platinum,2022-03-09,2023-09-02,True,False
127,Laura,González,laura.gonzález127@email.com,+1 697-402-3238,2002-10-09,La Plata,Argentina,62236,Platinum,2023-08-27,2025-05-19,False,False
128,Lucía,García,lucía.garcía128@email.com,+1 758-454-3162,1993-02-01,Buenos Aires,Argentina,60074,Bronze,2024-04-24,2025-02-16,True,True
129,Lucía,Ramírez,lucía.ramírez129@email.com,+1 482-887-8506,1966-05-04,Tucumán,Argentina,38015,Platinum,2023-07-06,2025-08-25,True,True
130,Juan,Martínez,juan.martínez130@email.com,+1 799-143-8460,1991-06-11,Salta,Argentina,48796,Gold,2023-11-09,2024-07-23,True,False
131,Pedro,Sánchez,pedro.sánchez131@email.com,+1 761-266-7537,2002-06-26,La Plata,México,34369,Bronze,2022-03-05,2025-03-31,True,False
132,Valentina,Ramírez,valentina.ramírez132@email.com,+1 437-108-6407,1980-09-16,Rosario,México,45840,Bronze,2023-06-04,2024-10-01,False,True
133,Lucía,Sánchez,lucía.sánchez133@email.com,+1 859-353-2691,1981-06-15,Mar del Plata,Uruguay,41741,Platinum,2023-10-23,2025-07-17,False,True
134,Gabriel,González,gabriel.gonzález134@email.com,+1 618-651-4274,2000-03-29,Salta,Colombia,43162,Silver,2021-09-14,2024-12-02,False,False
135,María,Fernández,maría.fernández135@email.com,+1 206-220-7752,1968-02-10,Rosario,Perú,15136,Gold,2021-11-12,2024-02-09,False,False
136,Ana,García,ana.garcía136@email.com,+1 857-538-1163,2002-01-09,Mar del Plata,Argentina,26570,Bronze,2022-05-03,2024-02-22,False,True
137,Diego,Ramírez,diego.ramírez137@email.com,+1 946-891-1038,1977-07-27,Tucumán,Uruguay,94587,Gold,2023-01-18,2025-07-16,True,False
138,Lucas,González,lucas.gonzález138@email.com,+1 663-612-6387,1993-03-28,Neuquén,Perú,26044,Gold,2024-05-08,2024-05-15,True,False
139,Mateo,Ramírez,mateo.ramírez139@email.com,+1 448-323-7655,1981-03-03,Córdoba,Chile,25460,Silver,2022-07-17,2022-11-19,True,True
140,Gabriel,López,gabriel.lópez140@email.com,+1 505-616-3201,1991-04-28,Salta,Colombia,92168,Silver,2021-08-23,2023-07-22,False,False
141,Mateo,Torres,mateo.torres141@email.com,+1 281-939-4464,1989-04-12,Tucumán,Argentina,81699,Silver,2021-05-15,2025-11-05,True,True
142,Valentina,Rodríguez,valentina.rodríguez142@email.com,+1 567-657-3270,1988-12-12,Buenos Aires,Chile,28645,Platinum,2022-11-15,2025-12-25,True,True
143,Pedro,López,pedro.lópez143@email.com,+1 579-108-8229,1977-01-27,Santa Fe,Argentina,92015,Platinum,2021-11-01,2025-04-02,True,False
144,Lucas,Ramírez,lucas.ramírez144@email.com,+1 736-393-4038,1978-05-13,Santa Fe,Colombia,27103,Bronze,2023-01-20,2023-04-30,True,True
145,Diego,García,diego.garcía145@email.com,+1 344-794-4106,1981-09-20,Rosario,Argentina,22590,Gold,2024-05-05,2024-06-14,False,True
146,Laura,Rodríguez,laura.rodríguez146@email.com,+1 315-766-7709,1960-12-06,Mendoza,Colombia,90579,Bronze,2023-05-03,2025-03-20,True,True
147,Gabriel,González,gabriel.gonzález147@email.com,+1 474-381-4569,1983-06-29,Córdoba,Uruguay,96188,Silver,2024-02-07,2026-01-02,True,True
148,Pedro,López,pedro.lópez148@email.com,+1 876-530-8008,1983-11-06,Santa Fe,Argentina,73812,Silver,2024-05-16,2025-07-19,True,False
149,Laura,Rodríguez,laura.rodríguez149@email.com,+1 370-924-8033,1968-05-11,Mar del Plata,Perú,57073,Bronze,2021-05-17,2025-09-19,True,False
150,Carlos,Ramírez,carlos.ramírez150@email.com,+1 467-687-4105,1995-05-12,Santa Fe,Perú,19473,Platinum,2020-07-15,2022-09-08,True,False
151,Sofía,González,sofía.gonzález151@email.com,+1 679-557-7536,2005-09-22,Neuquén,Argentina,86034,Bronze,2020-05-06,2022-12-10,False,True
152,Pedro,González,pedro.gonzález152@email.com,+1 641-423-2217,1997-09-20,Tucumán,Argentina,38213,Bronze,2023-03-07,2025-12-09,False,True
153,Carlos,González,carlos.gonzález153@email.com,+1 544-284-4220,1967-09-13,Santa Fe,Argentina,79421,Silver,2020-12-20,2021-05-04,True,False
154,Sofía,Pérez,sofía.pérez154@email.com,+1 424-608-3997,1966-09-11,Santa Fe,Colombia,38514,Silver,2023-04-16,2024-10-05,True,True
155,Lucas,Rodríguez,lucas.rodríguez155@email.com,+1 569-415-4217,1984-09-05,Salta,Uruguay,31837,Gold,2023-02-02,2024-03-03,False,True
156,Gabriel,Rodríguez,gabriel.rodríguez156@email.com,+1 701-436-2143,1997-03-01,Neuquén,Argentina,97175,Gold,2022-09-20,2024-04-04,False,False
157,Juan,García,juan.garcía157@email.com,+1 582-900-3927,2005-10-10,Neuquén,Colombia,33477,Silver,2021-04-11,2023-03-14,True,False
158,Camila,González,camila.gonzález158@email.com,+1 285-656-8580,2005-01-28,Mendoza,Argentina,25484,Silver,2020-02-07,2020-10-25,True,False
159,Carlos,Fernández,carlos.fernández159@email.com,+1 958-946-6128,1998-05-03,Santa Fe,Perú,95938,Gold,2023-02-10,2025-07-07,True,True
160,Juan,González,juan.gonzález160@email.com,+1 711-938-1000,1964-04-08,Mendoza,Uruguay,49150,Gold,2020-06-27,2023-09-27,False,False
161,Diego,Ramírez,diego.ramírez161@email.com,+1 890-124-2356,1962-10-03,Rosario,Uruguay,60550,Bronze,2022-01-18,2022-04-03,True,True
162,Lucas,Sánchez,lucas.sánchez162@email.com,+1 776-458-1300,1967-10-31,La Plata,Uruguay,77887,Platinum,2024-03-04,2024-12-25,True,True
163,Laura,Torres,laura.torres163@email.com,+1 823-267-9898,1995-11-17,Santa Fe,Argentina,65440,Platinum,2020-06-28,2022-01-19,False,False
164,Valentina,Martínez,valentina.martínez164@email.com,+1 873-605-6913,1976-11-08,Mar del Plata,Colombia,78639,Bronze,2024-04-23,2025-09-28,True,False
165,Gabriel,Martínez,gabriel.martínez165@email.com,+1 941-247-5823,1978-10-22,Mar del Plata,Colombia,70957,Platinum,2023-08-17,2023-09-07,True,True
166,Pedro,González,pedro.gonzález166@email.com,+1 694-187-1810,1989-06-15,Buenos Aires,México,35822,Platinum,2023-11-11,2023-12-31,True,True
167,Diego,González,diego.gonzález167@email.com,+1 230-337-3536,1977-07-31,Buenos Aires,Argentina,28462,Platinum,2021-11-24,2023-07-06,True,True
168,Lucas,Fernández,lucas.fernández168@email.com,+1 538-581-4691,1999-03-23,Tucumán,Colombia,35777,Bronze,2021-03-22,2024-12-28,True,True
169,Juan,Fernández,juan.fernández169@email.com,+1 398-447-6618,1973-04-28,Mendoza,Argentina,39791,Platinum,2024-04-09,2025-05-15,True,False
170,Carlos,Ramírez,carlos.ramírez170@email.com,+1 386-716-8049,1985-10-28,Mendoza,Colombia,95704,Platinum,2021-01-19,2023-10-05,True,True
171,Diego,González,diego.gonzález171@email.com,+1 382-716-2745,1960-10-24,Neuquén,Argentina,55444,Gold,2022-11-09,2025-01-27,True,True
172,Valentina,Ramírez,valentina.ramírez172@email.com,+1 495-156-4126,1966-04-10,Salta,Argentina,23630,Silver,2022-12-08,2024-05-08,True,False
173,Lucas,González,lucas.gonzález173@email.com,+1 930-399-4867,1981-05-31,Mendoza,Perú,15558,Silver,2022-10-31,2022-12-13,True,True
174,Laura,Pérez,laura.pérez174@email.com,+1 393-357-3895,1978-12-24,Neuquén,Colombia,60202,Gold,2024-03-01,2024-07-28,True,False
175,Carlos,López,carlos.lópez175@email.com,+1 731-897-2001,1992-06-24,Córdoba,Colombia,70649,Gold,2023-11-22,2024-09-08,True,False
176,Diego,García,diego.garcía176@email.com,+1 896-115-9025,1995-03-31,Córdoba,Chile,47986,Bronze,2021-05-02,2022-04-04,True,True
177,Valentina,Ramírez,valentina.ramírez177@email.com,+1 550-763-1057,1989-03-14,Mar del Plata,Argentina,50061,Platinum,2023-03-06,2025-12-04,False,False
178,Juan,Fernández,juan.fernández178@email.com,+1 956-319-8074,1973-01-12,Neuquén,México,92388,Silver,2022-08-15,2022-09-14,True,True
179,Camila,Martínez,camila.martínez179@email.com,+1 285-483-8904,1960-12-01,Mar del Plata,Perú,52509,Platinum,2021-07-13,2023-02-15,True,False
180,Camila,Sánchez,camila.sánchez180@email.com,+1 350-879-7599,1995-08-03,Mendoza,Argentina,80367,Platinum,2022-09-22,2023-05-30,False,True
